
	Date	Time	AS Instance	Act. WPs	Dia.WPs	RFC Normal	RFC Low	CPU Usr	CPU Sys	CPU Idle	  CPU.	  Ava.	Rea.	Ste.	Paging in	Paging out	Free Mem.	FreeMem	Free(+FS)	EM alloc.	EM attach.	Heap Memor	Paging Mem	Pri.	Dia.	Ave.	Ave.	Upd.	Enq.	Logins	Sessions	   RTT	  Time
	2025/01/06	00:17:00	tels4happa03_PS4_00	      8	     3	       32	    32	    15	     2	     83	 3.01	15.00	0.8	  0	       0	       62	      62	61,187	  61,187	  31,632	   26,180	        0	   28,040	  0	  2	  4	  4	  0	  0	  320	    325	  529	10,151
	2025/01/06	00:17:10	tels4happa04_PS4_00	      1	     1	       37	    35	     3	     1	     96	 0.53	10.00	0.3	  0	       0	        0	      73	48,249	  48,249	  15,336	   15,300	        0	        1	  0	  1	  0	  0	  0	  0	   10	     10	  476	10,024
	2025/01/06	00:20:00	tels4happa01_PS4_00	      7	     7	       25	    25	    13	     3	     84	 1.97	10.00	0.5	  0	       4	       44	      53	35,160	  35,160	  25,660	   20,628	    1,590	   38,599	  0	  3	  3	  3	  0	  0	  343	    359	  401	10,178
	2025/01/06	00:20:30	tels4happa09_PS4_00	      2	     1	        0	     0	     3	     1	     96	 0.44	10.00	0.2	  0	       0	        0	      75	49,533	  49,533	  15,336	   15,324	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  403	10,017
	2025/01/06	00:20:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.20	10.00	0.2	  0	       0	        0	      74	48,763	  48,763	  15,332	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  353	10,015
	2025/01/06	00:21:10	tels4happa02_PS4_00	     14	     7	       32	    32	     9	     1	     90	 1.97	15.00	0.3	  0	       0	       48	      61	60,743	  60,743	  29,876	   24,744	      160	   34,921	  1	  2	  6	  5	  0	  0	  318	    320	1,254	10,123
	2025/01/06	00:21:10	tels4happa07_PS4_00	     11	     9	       32	    32	     4	     1	     95	 0.63	10.00	0.2	  0	       0	        0	      68	44,995	  44,995	  15,460	   15,432	        0	        2	  0	  1	  7	  7	  0	  0	   18	     18	  399	10,123
	2025/01/06	00:21:30	tels4happa06_PS4_00	      7	     7	       32	    32	     4	     1	     95	 0.65	10.00	0.2	  0	       0	        0	      69	45,539	  45,539	  15,388	   15,352	        0	        0	  0	  1	  8	  9	  0	  0	   16	     16	  429	10,119
	2025/01/06	00:21:50	tels4happa05_PS4_00	      6	     6	       47	    40	     3	     1	     96	 0.55	10.00	0.3	  0	       0	        0	      68	44,912	  44,912	  15,376	   15,336	        0	        0	  0	 47	  2	  2	  0	  0	   17	     17	  421	10,020
	2025/01/06	00:22:00	tels4happa03_PS4_00	      6	     5	       32	    32	    12	     2	     86	 2.61	15.00	0.7	  0	       0	       54	      59	58,960	  58,960	  31,500	   24,344	        0	   45,845	  0	  1	  8	  7	  0	  0	  335	    339	  430	10,204
	2025/01/06	00:22:10	tels4happa04_PS4_00	      1	     1	       37	    35	     2	     0	     98	 0.35	10.00	0.2	  0	       0	        0	      73	48,150	  48,150	  15,336	   15,300	        0	        4	  0	  1	  1	  1	  0	  0	   10	     10	  384	10,014
	2025/01/06	00:25:00	tels4happa01_PS4_00	      4	     4	       25	    25	    16	     3	     81	 2.26	10.00	0.7	  0	       0	       56	      55	36,518	  36,518	  22,432	   16,808	        0	   43,628	  0	  3	  3	  4	  0	  0	  349	    366	  322	10,102
	2025/01/06	00:25:30	tels4happa09_PS4_00	      1	     1	        0	     0	     2	     1	     97	 0.45	10.00	0.2	  0	       0	        0	      75	49,482	  49,482	  15,332	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  381	10,021
	2025/01/06	00:25:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.19	10.00	0.2	  0	       0	        0	      74	48,733	  48,733	  15,332	   15,304	        0	        1	  0	  1	  0	  0	  0	  0	    9	      9	  345	10,015
	2025/01/06	00:26:10	tels4happa02_PS4_00	     12	     9	       32	    32	    18	     2	     80	 3.55	15.00	0.5	  0	       0	       57	      56	55,503	  55,503	  34,092	   27,780	      958	   44,739	  2	  1	  5	  6	  0	  0	  350	    352	  353	10,123
	2025/01/06	00:26:10	tels4happa07_PS4_00	      3	     3	       32	    32	     2	     1	     97	 0.35	10.00	0.2	  0	       0	        0	      68	44,830	  44,830	  15,352	   15,316	        0	        0	  0	  1	  2	  2	  0	  0	   12	     12	  473	10,119
	2025/01/06	00:26:30	tels4happa06_PS4_00	      1	     1	       32	    32	     5	     1	     94	 0.80	10.00	0.3	  0	       0	        0	      69	45,672	  45,672	  15,332	   15,296	        0	        0	  0	  1	  2	  2	  0	  0	    9	      9	  439	 9,117
	2025/01/06	00:26:50	tels4happa05_PS4_00	      1	     1	       48	    45	     1	     1	     98	 0.29	10.00	0.2	  0	       0	        0	      68	44,859	  44,859	  15,336	   15,300	        0	        0	  0	 46	  1	  0	  0	  0	   10	     10	  311	10,010
	2025/01/06	00:27:00	tels4happa03_PS4_00	      7	     7	       32	    32	     7	     1	     92	 1.42	15.00	0.2	  0	       0	       54	      58	57,653	  57,653	  32,440	   24,688	        0	   60,284	  0	  1	  5	  3	  0	  0	  428	    432	  612	 9,188
	2025/01/06	00:27:10	tels4happa04_PS4_00	      1	     1	       37	    35	     1	     0	     99	 0.20	10.00	0.2	  0	       0	        0	      73	48,050	  48,050	  15,336	   15,300	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  385	10,026
	2025/01/06	00:30:00	tels4happa01_PS4_00	     11	     9	       25	    25	    19	     3	     78	 2.48	10.00	1.0	  0	       2	       59	      55	36,194	  36,194	  23,112	   16,972	        0	   49,815	  0	  2	  6	  5	  0	  0	  356	    375	  532	 9,184
	2025/01/06	00:30:30	tels4happa09_PS4_00	      1	     1	        0	     0	     3	     1	     96	 0.45	10.00	0.2	  0	       0	        0	      75	49,472	  49,472	  15,332	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  439	10,022
	2025/01/06	00:30:50	tels4happa08_PS4_00	      3	     1	        0	     0	     2	     1	     97	 0.40	10.00	0.4	  0	       0	        0	      74	49,040	  49,040	  15,344	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	   11	     11	  622	10,026
	2025/01/06	00:31:10	tels4happa02_PS4_00	     19	    10	       32	    32	    11	     2	     87	 2.41	15.00	0.5	  0	       0	       57	      57	56,807	  56,807	  32,780	   26,372	        0	   45,181	  0	  1	  7	 10	  0	  0	  429	    431	  667	10,144
	2025/01/06	00:31:10	tels4happa07_PS4_00	      7	     6	       32	    32	     4	     1	     95	 0.67	10.00	0.4	  0	       0	        0	      68	44,800	  44,800	  15,400	   15,360	        0	        8	  0	  2	  7	  6	  0	  0	   17	     17	  506	10,126
	2025/01/06	00:31:30	tels4happa06_PS4_00	      8	     8	       32	    32	     8	     2	     90	 1.12	10.00	0.3	  0	       0	        0	      69	45,740	  45,740	  15,380	   15,348	        0	        0	  0	  1	  6	  7	  0	  0	   15	     15	  593	10,122
	2025/01/06	00:31:50	tels4happa05_PS4_00	      2	     2	       48	    44	    10	     3	     87	 1.49	 7.95	1.7	  0	       0	        0	      68	44,876	  44,876	  15,336	   15,300	        0	        1	  0	 46	  1	  2	  0	  0	   10	     10	  806	10,119
	2025/01/06	00:32:00	tels4happa03_PS4_00	     17	    13	       32	    32	    21	     2	     77	 3.81	13.25	1.6	  0	       0	       67	      58	57,529	  57,529	  34,360	   26,336	       53	   67,491	  1	  2	 11	 12	  0	  0	  376	    381	  412	10,233
	2025/01/06	00:32:10	tels4happa04_PS4_00	      1	     1	       37	    35	    14	     2	     84	 1.83	10.00	1.0	  0	       0	        0	      73	47,885	  47,885	  15,336	   15,300	        0	        0	  0	  1	  1	  1	  0	  0	   10	     10	  580	 9,117
	2025/01/06	00:35:00	tels4happa01_PS4_00	      9	     8	       25	    25	    23	     6	     71	 3.18	10.00	2.0	  0	       0	      123	      54	35,849	  35,849	  25,140	   18,248	      368	   65,282	  0	  3	  6	  7	  0	  0	  404	    426	  465	 9,211
	2025/01/06	00:35:30	tels4happa09_PS4_00	      2	     2	        0	     0	     4	     1	     95	 0.65	 9.52	0.5	  0	       0	        0	      75	49,422	  49,422	  15,336	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  402	10,014
	2025/01/06	00:35:50	tels4happa08_PS4_00	      1	     1	        0	     0	     4	     2	     94	 0.65	10.00	0.8	  0	       0	        0	      74	48,652	  48,652	  15,336	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  414	10,024
	2025/01/06	00:36:10	tels4happa02_PS4_00	     10	     7	       32	    32	    24	     3	     73	 4.66	14.79	1.3	  0	       0	       35	      59	58,311	  58,311	  32,172	   25,204	        0	   53,581	  0	  2	  6	  6	  0	  0	  472	    474	  375	10,129
	2025/01/06	00:36:10	tels4happa07_PS4_00	      7	     7	       32	    32	     5	     1	     94	 0.83	 9.09	0.5	  0	       0	        0	      68	44,661	  44,661	  15,388	   15,364	        0	        6	  0	  1	  7	  6	  0	  0	   15	     15	  370	10,119
	2025/01/06	00:36:30	tels4happa06_PS4_00	      4	     4	       32	    32	     6	     2	     92	 0.92	10.00	0.6	  0	       0	        0	      69	45,264	  45,264	  15,360	   15,320	        0	        0	  0	  1	  5	  6	  0	  0	   13	     13	  438	10,116
	2025/01/06	00:36:50	tels4happa05_PS4_00	      2	     2	       48	    44	     8	     2	     90	 1.21	10.00	0.8	  0	       0	        0	      68	44,715	  44,715	  15,468	   15,312	        0	        1	  0	 47	  2	  2	  0	  0	   27	     27	  348	10,116
	2025/01/06	00:37:00	tels4happa03_PS4_00	     10	     9	       32	    32	    21	     2	     77	 3.68	14.71	1.1	  0	       0	      230	      53	52,413	  52,413	  35,792	   26,072	    4,834	   72,239	  1	  1	  6	  6	  0	  0	  365	    372	  399	10,199
	2025/01/06	00:37:10	tels4happa04_PS4_00	      1	     1	       37	    35	     7	     1	     92	 1.00	10.00	0.4	  0	       0	        0	      73	47,886	  47,886	  15,336	   15,300	        0	        2	  0	  1	  0	  0	  0	  0	   10	     10	  411	10,011
	2025/01/06	00:40:00	tels4happa01_PS4_00	      6	     6	       25	    25	    24	     2	     74	 3.00	10.00	0.7	  0	       0	       81	      51	33,952	  33,952	  27,308	   20,148	      451	   72,212	  1	  3	  5	  5	  0	  0	  366	    390	  345	10,183
	2025/01/06	00:40:30	tels4happa09_PS4_00	      1	     1	        0	     0	     4	     2	     94	 0.72	10.00	0.2	  0	       0	        0	      75	49,348	  49,348	  15,336	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  412	10,120
	2025/01/06	00:40:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.18	10.00	0.2	  0	       0	        0	      74	48,654	  48,654	  15,336	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  322	10,015
	2025/01/06	00:41:10	tels4happa02_PS4_00	      5	     4	       32	    32	    10	     1	     89	 2.00	15.00	0.4	  0	       0	       49	      59	58,133	  58,133	  32,016	   24,328	        0	   52,413	  0	  2	  3	  3	  0	  0	  495	    497	  614	10,118
	2025/01/06	00:41:10	tels4happa07_PS4_00	      8	     8	       32	    32	     3	     0	     97	 0.45	10.00	0.2	  0	       0	        0	      67	44,546	  44,546	  15,376	   15,348	        0	        0	  0	  1	  3	  3	  0	  0	   15	     15	  413	10,118
	2025/01/06	00:41:30	tels4happa06_PS4_00	      4	     4	       32	    32	     3	     1	     96	 0.51	10.00	0.2	  0	       0	        0	      68	45,115	  45,115	  15,372	   15,332	        0	        0	  0	  1	  2	  2	  0	  0	   13	     13	  327	10,115
	2025/01/06	00:41:50	tels4happa05_PS4_00	      2	     2	       48	    44	     1	     1	     98	 0.29	10.00	0.2	  0	       0	        0	      68	44,586	  44,586	  15,340	   15,304	        0	        3	  0	 47	  0	  0	  0	  0	   11	     11	  333	10,013
	2025/01/06	00:42:00	tels4happa03_PS4_00	      5	     5	       32	    32	     8	     2	     90	 1.84	15.00	0.3	  0	       0	      107	      52	51,881	  51,881	  33,724	   24,396	    4,251	   74,180	  1	  1	  5	  5	  0	  0	  421	    432	  391	10,208
	2025/01/06	00:42:10	tels4happa04_PS4_00	      1	     1	       37	    35	     1	     0	     99	 0.18	10.00	0.1	  0	       0	        0	      72	47,770	  47,770	  15,336	   15,300	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  259	10,014
